DISTRICT,COUNTY,AUN,WEBSITE,LOGO,LOGO_WHITE,STATUS,COMPANY,MARKET_SECTOR,TEAM_LEAD,ENROLLMENT,SIZE_SQFT,CONSTRUCTION_COST,PROJECT_1,YEAR_1,VALUE_1,PROJECT_2,YEAR_2,VALUE_2,PROJECT_3,YEAR_3,VALUE_3,PROJECT_TYPE,FACILITY_TYPE,KEY_STATS
Abington Heights SD,Lackawanna,119350303,www.ahsd.org,abington-heights.png,,active,Both,K-12,Mike Hartney,,"80,000 SF addition/renovation noted in proposal outline; monthly report covers middle school addition.","$40,000,000.00",Middle School Addition & Renovation,2027,$40.0M,,,,,,,"Addition, Renovation, Construction Management",School,Building addition complete Spring 2027; renovations complete August 2027; proposal outline notes total cost $40M.
Abington SD,Montgomery,123460302,www.abingtonsd.org,abington.png,,active,ICS,K-12,Ryan Murphy,,"345,000 SQFT",$0.00,New 6-8 Middle School (Program Management),2030,,,,,,,,"New Construction, Program Management",School,Design start June 2025; construction February 2027-April 2029; demo/new parking/athletics restoration April 2029-February 2030.
Coatesville Area SD,Chester,124151902,www.casdschools.org,coatesville.png,,active,Both,K-12,Ianni Vardouniotis,,10 facilities,"$11,500,000.00",District-Wide Facility Master Plan + GESA,2023,$11.5M,,,,,,,"Energy/Infrastructure, Capital Improvement, Advisory/Planning","District-Wide, School","Project dates October 2021-September 2023; total contract/project capital expenditure $11,500,000."
Cumberland Valley SD,Cumberland,115211603,www.cvschools.org,,,none,,,,,,,,,,,,,,,,,,
Easton Area SD,Northampton,120483302,www.eastonsd.org,easton-area.png,,none,,,,,,,,,,,,,,,,,,
Hatboro-Horsham SD,Montgomery,123463603,www.hatboro-horsham.org,,,none,,,,,,,,,,,,,,,,,,
Haverford Township SD,Delaware,125234502,www.haverford.k12.pa.us,haverford-township.png,,none,,,,,,,,,,,,,,,,,,
Hazleton Area SD,Luzerne,118403302,www.hasdk12.org,hazleton.png,,active,ICS,K-12,Michael Spadafora,,"1,606,123 SF | 15 buildings","$34,070,773.00",GESA Phases 1-4: District-Wide Capital Program,2028,$34.1M,"Boilers, piping, pool filtration, BAS/JACE controls, security/fire alarm",,,,,,"Energy/Infrastructure, Capital Improvement, Program Management, Construction Management","District-Wide, School","Contract Amount Phase 1 $3,978,418; Phase 2 $6,436,430; Phase 3 $13,655,925; Phase 4 $10,000,000; guaranteed savings $26,003 Year 1; actual savings $122,740 Year 1. Growth strategy notes $183.2M distr"
Interboro SD,Delaware,125235103,www.interborosd.org,interboro.png,,none,,,,,,,,,,,,,,,,,,
Lower Moreland Township SD,Montgomery,123464603,www.lmtsd.org,lower-moreland.png,,active,Both,K-12,Ryan Murphy,,,$0.00,Facility Assessment & Planning Study,,,,,,,,,Advisory/Planning,"School, District-Wide",
